1;Koch;kochen;Mechaniker;verarbeiten;verarbeiten,fertigen,Metalle;beschaffen,Schleifen,verarbeiten
2;Koch;kochen;Lehrperson;unterrichten,dozieren;unterrichten,Schülerinnen,Tagesschule;lesen,überprüfen,verfassen
3;Koch;kochen;Arzt;behandeln,pflegen;versorgen,Ärztin,Therapien;Zahnarzt,kaufen,Abendessen
4;Koch;kochen;Rechtsanwalt;vertreten,repräsentieren,beraten;formen,Rechtsanwältin,18:00;Ombudsmann,einzustellen,einzusetzen
5;Koch;kochen;Student;lernen;unterrichten,Econometrics,formen;lesen,studieren,beschaffen
6;Koch;kochen;Gärtner;pflanzen,pflegen;schneiden,Stauden,Blumen;trinken,lesen,kaufen
7;Koch;kochen;Projektleiter;planen,realisieren;realisieren,steuern,planen;entwerfen,implementieren,optimieren
8;Koch;kochen;Bauer;bewirtschaften,anbauen;Otto,lächeln,Hasler;Fachartikel,Baumarkt,kooperieren
9;Koch;kochen;Confiseur;backen;18:00,Rüegsegger,HoFa;
10;Koch;kochen;Pilot;fliegen;Fotos,Verarbeitungs-,Prozessanalysen;doch,lesen,reagieren
11;Koch;kochen;Software-Engineer;implementieren,programmieren,testen;überraschen,SW,reisen;Seien,programmieren,designen
12;Mechaniker;verarbeiten;Lehrperson;unterrichten,dozieren;unterrichten,schreiben,verfassen;entrichten,recherchieren,dokumentieren
13;Mechaniker;verarbeiten;Arzt;behandeln,pflegen;verfassen,Ärztin,bewirtschaften;Zahnarzt,gelangen,kaufen
14;Mechaniker;verarbeiten;Rechtsanwalt;vertreten,repräsentieren,beraten;kontieren,kommissionieren,versetzen;Ombudsmann,jedermann,Lebensbereichen
15;Mechaniker;verarbeiten;Student;lernen;kommissionieren,vorgegebene,bestellen;Handen,bereiten,entrichten
16;Mechaniker;verarbeiten;Gärtner;pflanzen,pflegen;schneiden,verlegen,mischen;fachgerecht,hören,verpacken
17;Mechaniker;verarbeiten;Projektleiter;planen,realisieren;steuern,erarbeiten,überprüfen;bearbeiten,implementieren,entwerfen
18;Mechaniker;verarbeiten;Bauer;bewirtschaften,anbauen;kontieren,vorgegebene,spitzen;Fernsehen,urchiger,beliefern
19;Mechaniker;verarbeiten;Confiseur;backen;kontieren,Isolationsplatten,giessen;
20;Mechaniker;verarbeiten;Pilot;fliegen;kommissionieren,Rechnungen,Fotos;Vorbach,zaubert,hören
21;Mechaniker;verarbeiten;Software-Engineer;implementieren,programmieren,testen;bewirtschaften,visualisieren,kommissionieren;konstruieren,implementieren,genehmigen
22;Lehrperson;unterrichten;Arzt;behandeln,pflegen;Ärztin,Oberärztin,Leitender;Zahnarzt,Jahrespensum,Gewinnerwartungssystem
23;Lehrperson;unterrichten;Rechtsanwalt;vertreten,repräsentieren,beraten;Rechtsanwältin,Analytisch,Konzeptionell;Ombudsmann,ständig,jedermann
24;Lehrperson;unterrichten;Student;lernen;studieren,Masterstudium,Wirtschaftsingenieurwesen;studieren,Assistant,Accountant
25;Lehrperson;unterrichten;Gärtner;pflanzen,pflegen;Gartenbauer,Polybauer,Grundbauer;Dachdecker,Bauspengler,Betriebsunterhalt
26;Lehrperson;unterrichten;Projektleiter;planen,realisieren;agieren,steuern,Planer;Planer,Holzbau,inder
27;Lehrperson;unterrichten;Bauer;bewirtschaften,anbauen;Tobler,Paul,Holenstein;Matthey,Generationenfestival,urchiger
28;Lehrperson;unterrichten;Confiseur;backen;Konditor,GaFa,HoFa;
29;Lehrperson;unterrichten;Pilot;fliegen;Schreitbagger,sales,Payments;begrüsst,gesprochen,Lerch
30;Lehrperson;unterrichten;Software-Engineer;implementieren,programmieren,testen;IT-Consultant,Softwareingenieur,Software-Ingenieur;Software-Ingenieur,herausragende,Kommen
31;Arzt;behandeln;Rechtsanwalt;vertreten,repräsentieren,beraten;mischen,Autogen-,Postbewerbungen;Ombudsmann,jedermann,Zahnkaries-
32;Arzt;behandeln;Student;lernen;Wirtschaftsingenieurwesen,Betriebswirtschaftslehre,Masterstudium;rekrutieren,daraus,beherrscht
33;Arzt;behandeln;Gärtner;pflanzen,pflegen;Polybauer/in,Gärtner/in,Landschaftsbau;beherrscht,Nierenpatienten,daraus
34;Arzt;behandeln;Projektleiter;planen,realisieren;projektieren,realisieren,Bauwerke;beraten,realisieren,begleiten
35;Arzt;behandeln;Bauer;bewirtschaften,anbauen;Bimo,Béatrice,STA;Versicherer,Bankengruppe,Nordsee
36;Arzt;behandeln;Confiseur;backen;Bimo,Autogen-,konfektionieren;
37;Arzt;behandeln;Pilot;fliegen;aufsetzen,Amadeus,ssf-gmbh.ch;Ernährung·,daraus,rekrutieren
38;Arzt;behandeln;Software-Engineer;implementieren,programmieren,testen;Programmierer/in,PTC,projektieren;Software-Ingenieur,realisieren,daraus
39;Rechtsanwalt;beraten;Student;lernen;begleiten,betreuen,schulen;besuchen,verwalten,beherrschen
40;Rechtsanwalt;beraten;Gärtner;pflanzen,pflegen;kompetent,begleiten,betreuen;fachgerecht,verwalten,fügen
41;Rechtsanwalt;beraten;Projektleiter;planen,realisieren;begleiten,koordinieren,steuern;betreuen,begleiten,bearbeiten
42;Rechtsanwalt;beraten;Bauer;bewirtschaften,anbauen;kompetent,Beraten,vertreten;verwalten,Fernsehen,betreuen
43;Rechtsanwalt;beraten;Confiseur;backen;Beraten,instruieren,schulen;
44;Rechtsanwalt;beraten;Pilot;fliegen;Beraten,schulen,kommerziellen;besuchen,betreuen,bearbeiten
45;Rechtsanwalt;beraten;Software-Engineer;implementieren,programmieren,testen;betreuen,schulen,begleiten;Software-Ingenieur,programmieren,implementieren
46;Student;lernen;Gärtner;pflanzen,pflegen;lernen.Bitte,lernt,Gärtner/in;gelernten,naturwissenschaftlich-technischen,verursachen
47;Student;lernen;Projektleiter;planen,realisieren;lernen.Bitte,agieren,steuern;umzusetzen,gewinnen,erschließen
48;Student;lernen;Bauer;bewirtschaften,anbauen;lernen.Bitte,lernt,Brigitte;dazulernen,Pizzen,kooperieren
49;Student;lernen;Confiseur;backen;lernen.Bitte,Beruflich,autogen;
50;Student;lernen;Pilot;fliegen;lernen.Bitte,Stamenko,Handen;kennenlernen,gestalten,sprachlich
